,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
321,2018-07-26,7539.75,7577.5,7489.5,7558.25,392494,236030
322,2018-07-25,7538.0,7657.5,7524.5,7597.0,351372,240539
323,2018-07-24,7547.75,7617.25,7514.25,7543.75,406774,237642
324,2018-07-23,7495.5,7560.25,7439.0,7558.0,287213,236780
325,2018-07-20,7507.75,7541.25,7478.25,7487.5,302839,242868
326,2018-07-19,7527.5,7543.5,7482.25,7495.25,321505,244643
327,2018-07-18,7551.75,7565.25,7509.0,7532.0,267804,243337
328,2018-07-17,7447.5,7563.5,7420.0,7549.25,343273,246833
329,2018-07-16,7527.0,7541.25,7443.5,7452.5,246001,242936
330,2018-07-13,7509.5,7541.75,7494.5,7520.5,279818,243256
331,2018-07-12,7387.25,7514.5,7377.0,7510.25,304341,248696
332,2018-07-11,7391.0,7417.5,7332.0,7381.25,373366,246319
333,2018-07-10,7428.25,7463.0,7387.0,7429.0,286748,241382
334,2018-07-09,7360.0,7431.0,7359.75,7427.75,269931,240970
335,2018-07-06,7246.25,7365.25,7228.75,7361.0,320304,244267
336,2018-07-05,7150.5,7255.5,7142.5,7253.25,378283,241059
337,2018-07-03,7241.25,7292.5,7149.75,7151.25,300232,240439
338,2018-07-02,7195.75,7247.25,7115.0,7244.0,379570,241881
339,2018-06-29,7182.75,7251.25,7172.5,7194.25,396079,232970
340,2018-06-28,7126.25,7204.0,7083.5,7188.0,483220,234987
341,2018-06-27,7225.75,7279.0,7115.5,7125.75,546252,233717
342,2018-06-26,7191.75,7257.5,7168.0,7231.5,399009,233643
343,2018-06-25,7350.25,7350.25,7123.0,7201.0,598963,230018
344,2018-06-22,7355.5,7401.5,7325.75,7350.25,322915,225998
345,2018-06-21,7442.75,7486.0,7353.75,7365.25,424012,225412
346,2018-06-20,7381.25,7464.0,7354.25,7440.75,320649,221056
347,2018-06-19,7402.5,7406.5,7285.0,7379.75,450281,224232
348,2018-06-18,7403.5,7416.75,7336.25,7403.5,291954,221680
349,2018-06-15,7437.75,7446.25,7372.5,7409.0,364647,218743
350,2018-06-14,7359.75,7448.5,7332.75,7438.75,335148,215339
